,lake,water_body,date_collect,station_num,sample_num,station_descr,latitude,longitude
49,superior,,1986-09-22,20110013.0,50,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
50,superior,,1986-09-29,20110013.0,51,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
51,superior,,1986-10-06,20110013.0,52,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
52,superior,,1986-10-13,20110013.0,53,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
53,superior,,1986-10-20,20110013.0,54,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
54,superior,,1986-10-27,20110013.0,55,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
55,superior,,1986-11-03,20110013.0,56,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
56,superior,,1986-11-10,20110013.0,57,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
57,superior,,1986-11-17,20110013.0,58,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
58,superior,,1986-11-24,20110013.0,59,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
59,superior,,1986-12-08,20110013.0,60,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
60,superior,,1986-12-15,20110013.0,61,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
61,superior,,1986-12-29,20110013.0,62,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
62,superior,,1987-01-12,20110013.0,63,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
63,superior,,1987-01-19,20110013.0,64,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
64,superior,,1987-06-22,20110013.0,65,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
65,superior,,1995-08-21,20110013.0,71,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
66,superior,,1995-02-06,20110013.0,228708,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
67,superior,,1990-01-01,20110013.0,228722,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
68,superior,,1990-01-02,20110013.0,228723,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
69,superior,,1990-01-08,20110013.0,228724,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
70,superior,,1990-01-15,20110013.0,228725,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
71,superior,,1990-01-15,20110013.0,228726,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
72,superior,,1990-01-23,20110013.0,228727,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
73,superior,,1990-02-13,20110013.0,228728,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
74,superior,,1990-02-21,20110013.0,228729,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
75,superior,,1990-02-26,20110013.0,228730,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
76,superior,,1990-03-05,20110013.0,228731,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
77,superior,,1990-03-05,20110013.0,228732,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
78,superior,,1990-03-12,20110013.0,228733,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
79,superior,,1990-03-19,20110013.0,228734,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
80,superior,,1990-03-26,20110013.0,228735,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
81,superior,,1990-04-02,20110013.0,228736,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
82,superior,,1990-04-09,20110013.0,228737,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
83,superior,,1990-04-09,20110013.0,228738,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
84,superior,,1990-04-16,20110013.0,228739,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
85,superior,,1990-04-23,20110013.0,228740,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
86,superior,,1990-04-30,20110013.0,228741,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
87,superior,,1990-04-30,20110013.0,228742,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
88,superior,,1990-05-07,20110013.0,228743,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
89,superior,,1990-05-14,20110013.0,228744,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
90,superior,,1990-05-21,20110013.0,228745,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
91,superior,,1990-05-28,20110013.0,228746,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
92,superior,,1990-06-04,20110013.0,228747,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
93,superior,,1990-06-11,20110013.0,228748,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
94,superior,,1990-06-11,20110013.0,228749,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
95,superior,,1990-06-18,20110013.0,228750,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
96,superior,,1990-06-26,20110013.0,228751,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
97,superior,,1990-07-02,20110013.0,228752,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
98,superior,,1990-07-03,20110013.0,228753,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
99,superior,,1990-07-03,20110013.0,228754,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
100,superior,,1990-07-09,20110013.0,228755,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
101,superior,,1990-07-17,20110013.0,228756,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
102,superior,,1990-07-20,20110013.0,228757,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
103,superior,,1990-07-23,20110013.0,228758,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
104,superior,,1990-07-30,20110013.0,228759,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
105,superior,,1990-08-07,20110013.0,228760,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
106,superior,,1990-08-13,20110013.0,228761,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
