lake,water_body,date_collect,station_num,sample_num,station_descr,latitude,longitude
erie,,1990-01-15,20140004.0,238321,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-01-22,20140004.0,238322,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-01-29,20140004.0,238323,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-02-05,20140004.0,238324,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-02-12,20140004.0,238325,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-02-19,20140004.0,238326,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-02-26,20140004.0,238327,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-03-05,20140004.0,238328,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-03-12,20140004.0,238329,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-03-19,20140004.0,238330,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-03-26,20140004.0,238331,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-04-02,20140004.0,238332,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-04-09,20140004.0,238333,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-04-17,20140004.0,238334,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-04-23,20140004.0,238335,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-04-30,20140004.0,238336,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-05-07,20140004.0,238337,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-05-14,20140004.0,238338,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-05-22,20140004.0,238339,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-05-28,20140004.0,238340,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-06-04,20140004.0,238341,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-06-11,20140004.0,238342,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-06-18,20140004.0,238343,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-06-25,20140004.0,238344,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-07-03,20140004.0,238345,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-07-09,20140004.0,238346,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-07-16,20140004.0,238347,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-07-23,20140004.0,238348,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-07-30,20140004.0,238349,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-08-07,20140004.0,238350,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-08-13,20140004.0,238351,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-08-20,20140004.0,238352,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-08-27,20140004.0,238353,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-09-04,20140004.0,238354,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-09-10,20140004.0,238355,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-09-17,20140004.0,238356,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-09-24,20140004.0,238357,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-10-01,20140004.0,238358,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-10-09,20140004.0,238359,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-10-15,20140004.0,238360,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-10-22,20140004.0,238361,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-10-29,20140004.0,238362,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-11-05,20140004.0,238363,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-11-13,20140004.0,238364,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-11-19,20140004.0,238365,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-11-26,20140004.0,238366,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-12-03,20140004.0,238367,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-12-10,20140004.0,238368,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-12-17,20140004.0,238369,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-12-24,20140004.0,238370,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1990-12-31,20140004.0,238371,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-01-14,20140004.0,238372,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-01-21,20140004.0,238373,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-01-28,20140004.0,238374,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-02-04,20140004.0,238375,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-02-11,20140004.0,238376,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-02-18,20140004.0,238377,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-02-25,20140004.0,238378,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-03-04,20140004.0,238379,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-03-11,20140004.0,238380,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-03-18,20140004.0,238381,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-03-25,20140004.0,238382,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-04-02,20140004.0,238383,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-04-08,20140004.0,238384,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-04-15,20140004.0,238385,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-04-22,20140004.0,238386,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-04-29,20140004.0,238387,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-05-06,20140004.0,238388,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-05-13,20140004.0,238389,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-05-21,20140004.0,238390,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-05-27,20140004.0,238391,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-06-03,20140004.0,238392,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-06-10,20140004.0,238393,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-06-17,20140004.0,238394,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-06-24,20140004.0,238395,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-07-02,20140004.0,238396,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-07-08,20140004.0,238397,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-07-15,20140004.0,238398,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-07-22,20140004.0,238399,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-07-29,20140004.0,238400,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-08-06,20140004.0,238401,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-08-12,20140004.0,238402,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-08-19,20140004.0,238403,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-08-26,20140004.0,238404,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-09-03,20140004.0,238405,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
